epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.531,0.96512,2.60199,1.28916,0.41407,0.42469,0.41385,0.29577,1.15813,4.49845,1.76911,0.000274196,0.000274196,0.000274196
2,256.55,0.95758,1.57726,1.21856,0.73352,0.37374,0.44457,0.33743,0.9679,8.291,1.55037,0.000546399,0.000546399,0.000546399
3,380.366,0.95383,1.4363,1.19984,0.54143,0.4858,0.48942,0.3498,1.26827,12.2922,1.99907,0.000813104,0.000813104,0.000813104
4,503.272,0.93587,1.37582,1.2055,0.52459,0.47339,0.4498,0.35321,0.91401,4.81643,1.3296,0.00080826,0.00080826,0.00080826
5,626.064,0.9072,1.28506,1.17546,0.76094,0.59645,0.63918,0.46469,1.01919,3.09807,1.41034,0.000800013,0.000800013,0.000800013
6,748.952,0.82716,1.16742,1.1364,0.63281,0.53733,0.55149,0.43828,0.8692,2.04336,1.29627,0.000791767,0.000791767,0.000791767
7,871.662,0.82519,1.1169,1.12603,0.65704,0.73071,0.74278,0.60972,0.74059,1.16915,1.17325,0.00078352,0.00078352,0.00078352
8,994.514,0.74691,1.04755,1.09919,0.69738,0.66504,0.7277,0.61469,0.68517,1.14694,1.11428,0.000775273,0.000775273,0.000775273
9,1117.49,0.76136,1.00245,1.08784,0.73429,0.69769,0.78358,0.6505,0.74797,1.1347,1.17339,0.000767026,0.000767026,0.000767026
10,1240.22,0.72414,0.9693,1.08552,0.74465,0.87023,0.84717,0.71121,0.70988,1.12076,1.14099,0.00075878,0.00075878,0.00075878
11,1363.04,0.68663,0.88835,1.05407,0.84261,0.84837,0.88517,0.75871,0.65148,0.74063,1.1016,0.000750533,0.000750533,0.000750533
12,1486.11,0.6869,0.88639,1.05489,0.82879,0.74553,0.82592,0.70438,0.69077,1.06914,1.12643,0.000742286,0.000742286,0.000742286
13,1609.43,0.6641,0.83124,1.03973,0.81239,0.86277,0.88814,0.7651,0.63436,0.76139,1.12608,0.00073404,0.00073404,0.00073404
14,1732.41,0.65043,0.81594,1.03247,0.89698,0.83777,0.91291,0.79632,0.58219,0.61028,1.0415,0.000725793,0.000725793,0.000725793
15,1855.36,0.63461,0.78778,1.03121,0.88492,0.83206,0.88461,0.76845,0.58258,0.65332,1.05499,0.000717546,0.000717546,0.000717546
16,1978.04,0.6421,0.76442,1.03106,0.88481,0.86463,0.90793,0.80128,0.55289,0.56151,1.03095,0.000709299,0.000709299,0.000709299
17,2100.81,0.5825,0.72339,1.00724,0.91802,0.89249,0.93686,0.82409,0.55122,0.49393,1.00622,0.000701053,0.000701053,0.000701053
18,2223.62,0.61183,0.70576,1.01649,0.80262,0.83769,0.87419,0.75835,0.59428,0.66828,1.04781,0.000692806,0.000692806,0.000692806
19,2346.18,0.60086,0.68754,1.01647,0.86532,0.90711,0.94539,0.83858,0.53209,0.51738,0.98313,0.000684559,0.000684559,0.000684559
20,2468.93,0.58412,0.66274,1.00324,0.86155,0.92183,0.92995,0.83121,0.51955,0.47968,1.00983,0.000676313,0.000676313,0.000676313
21,2591.62,0.5726,0.66222,0.99247,0.92461,0.89426,0.93849,0.83315,0.52652,0.51623,1.00938,0.000668066,0.000668066,0.000668066
22,2714.21,0.56739,0.65823,0.99188,0.94444,0.8962,0.96319,0.86537,0.52605,0.43937,1.01695,0.000659819,0.000659819,0.000659819
23,2836.89,0.55597,0.61885,0.98287,0.85674,0.91182,0.9444,0.83964,0.51355,0.50523,0.98248,0.000651573,0.000651573,0.000651573
24,2959.47,0.56159,0.62797,0.99041,0.91409,0.93164,0.96071,0.86897,0.486,0.46213,0.94991,0.000643326,0.000643326,0.000643326
25,3082.15,0.53847,0.61731,0.98151,0.95007,0.95434,0.97192,0.85717,0.50219,0.40582,0.97385,0.000635079,0.000635079,0.000635079
26,3204.74,0.53232,0.57497,0.97471,0.91189,0.90926,0.96798,0.86676,0.513,0.49528,0.97767,0.000626832,0.000626832,0.000626832
27,3327.55,0.52425,0.58741,0.9744,0.96894,0.93443,0.97105,0.89112,0.44395,0.37203,0.9398,0.000618586,0.000618586,0.000618586
28,3450.21,0.52518,0.56428,0.96809,0.89215,0.90225,0.94752,0.86229,0.44617,0.46227,0.9304,0.000610339,0.000610339,0.000610339
